"","GEOID","year","AGE_CATEGORY","fatality_count","rate"
"131","06053",2017,5,1,0.0783514847606362
"132","06055",2017,5,1,0.26581605528974
"133","06059",2017,1,3,0.016028980396557
"134","06059",2017,2,2,0.0107332413852321
"135","06059",2017,4,5,0.039934826363375
"136","06059",2017,5,8,0.0983489667211684
"137","06061",2017,4,1,0.0637714431477584
"138","06061",2017,5,3,0.365141187925998
"139","06065",2017,1,3,0.0188858601565008
"140","06065",2017,2,1,0.00604163897582136
"141","06065",2017,3,2,0.010904293020162
"142","06065",2017,4,9,0.0830036244916028
"143","06065",2017,5,9,0.129185984756054
"144","06067",2017,1,2,0.0201503213976263
"145","06067",2017,2,1,0.00954125639264178
"146","06067",2017,3,4,0.0400376353772546
"147","06067",2017,4,4,0.0662877218567191
"148","06067",2017,5,5,0.146748062925569
"149","06071",2017,1,8,0.0519359110857202
"150","06071",2017,2,5,0.0319961092731124
"151","06071",2017,3,7,0.0428430658497922
"152","06071",2017,4,7,0.071444610014493
"153","06071",2017,5,18,0.297181726625832
"154","06073",2017,1,1,0.00471406819371049
"155","06073",2017,2,1,0.0052049717890529
"156","06073",2017,3,1,0.00484545423710746
"157","06073",2017,4,4,0.0339287834834682
"158","06073",2017,5,8,0.089151390204491
"159","06077",2017,1,2,0.03796867584243
"160","06077",2017,2,1,0.0172372186024063
"161","06077",2017,4,8,0.231086975360351
"162","06077",2017,5,6,0.297294618967397
"163","06079",2017,4,1,0.113404400090724
"164","06079",2017,5,1,0.0681849174962498
"165","06081",2017,5,3,0.20834780193069
"166","06083",2017,3,1,0.0370411527206727
"167","06083",2017,4,1,0.0630437523641407
"168","06083",2017,5,4,0.188955548207284
"169","06085",2017,1,2,0.0169906211771102
"170","06085",2017,2,1,0.00869807250713242
"171","06085",2017,3,1,0.00787333380573336
"172","06085",2017,4,1,0.0142065634323057
"173","06085",2017,5,2,0.0455715815617381
"174","06087",2017,5,1,0.0769171602184447
"175","06089",2017,5,4,0.847637211273575
"176","06095",2017,4,2,0.119310385969099
"177","06097",2017,2,1,0.0332811927979499
"178","06097",2017,5,1,0.0775795190069821
"179","06099",2017,3,1,0.0243534167843748
"180","06099",2017,4,2,0.0787370575961576
"181","06099",2017,5,3,0.2031144211239
"182","06101",2017,4,1,0.237304224015187
"183","06101",2017,5,3,1.4873574615766
"184","06107",2017,1,2,0.0519858598461219
"185","06107",2017,2,1,0.02465483234714
"186","06107",2017,3,1,0.023958408203359
"187","06107",2017,4,2,0.0871307833057419
"188","06107",2017,5,3,0.227617602427921
"189","06111",2017,5,3,0.133535119736491
"190","06113",2017,1,1,0.0814199641752158
"191","06113",2017,3,1,0.0735456350665588
"192","06113",2017,4,1,0.12745347947999
