"","year","AGE_CATEGORY","CBSA.Code","CBSA.Title","Metropolitan.Micropolitan.Statistical.Area","rate_cbsa_age","rate_cbsa"
"60",2017,4,46060,"Tucson, AZ","Metropolitan Statistical Area",0.00400474161407106,0.0240285459125441
"61",2017,5,46060,"Tucson, AZ","Metropolitan Statistical Area",0.00800945115235979,0.0240285459125441
"62",2017,4,38060,"Phoenix-Mesa-Chandler, AZ","Metropolitan Statistical Area",0.00868338560468335,0.0385309789070413
"63",2017,5,38060,"Phoenix-Mesa-Chandler, AZ","Metropolitan Statistical Area",0.017366743790797,0.0385309789070413
"64",2017,4,39150,"Prescott Valley-Prescott, AZ","Metropolitan Statistical Area",0.0235899129532212,0.0707689041435193
"65",2017,5,39150,"Prescott Valley-Prescott, AZ","Metropolitan Statistical Area",0.0471787129647103,0.0707689041435193
"66",2017,2,49740,"Yuma, AZ","Metropolitan Statistical Area",0.0507511165245635,0.101499371267784
"67",2017,4,49740,"Yuma, AZ","Metropolitan Statistical Area",0.0338329329769598,0.101499371267784
"68",2017,5,49740,"Yuma, AZ","Metropolitan Statistical Area",0.0169161803264823,0.101499371267784
"69",2017,5,22220,"Fayetteville-Springdale-Rogers, AR","Metropolitan Statistical Area",0.0138908181691902,0.0337991989589847
"70",2017,2,27860,"Jonesboro, AR","Metropolitan Statistical Area",0.0333344444814827,0.0666666666666667
"71",2017,4,27860,"Jonesboro, AR","Metropolitan Statistical Area",0.033332222259258,0.0666666666666667
"72",2017,1,30780,"Little Rock-North Little Rock-Conway, AR","Metropolitan Statistical Area",0.0302791739841337,0.087697730977814
"73",2017,3,30780,"Little Rock-North Little Rock-Conway, AR","Metropolitan Statistical Area",0.0302773404384159,0.087697730977814
"74",2017,4,30780,"Little Rock-North Little Rock-Conway, AR","Metropolitan Statistical Area",0.0146370023419204,0.087697730977814
"75",2017,4,26300,"Hot Springs, AR","Metropolitan Statistical Area",0.0440218348300757,0.0880417317808641
"76",2017,5,26300,"Hot Springs, AR","Metropolitan Statistical Area",0.044019896993441,0.0880417317808641
"77",2017,3,38220,"Pine Bluff, AR","Micropolitan Statistical Area",0.0562239964016642,0.112441670883229
"78",2017,5,38220,"Pine Bluff, AR","Micropolitan Statistical Area",0.0562176748369687,0.112441670883229
"79",2017,4,30780,"Little Rock-North Little Rock-Conway, AR","Metropolitan Statistical Area",0.0146370023419204,0.087697730977814
"80",2017,5,30780,"Little Rock-North Little Rock-Conway, AR","Metropolitan Statistical Area",0.0197900278049891,0.087697730977814
"81",2017,1,30780,"Little Rock-North Little Rock-Conway, AR","Metropolitan Statistical Area",0.0302791739841337,0.087697730977814
"82",2017,3,30780,"Little Rock-North Little Rock-Conway, AR","Metropolitan Statistical Area",0.0302773404384159,0.087697730977814
"83",2017,4,22900,"Fort Smith, AR-OK","Metropolitan Statistical Area",0.0287273771904625,0.0574539291305784
"84",2017,5,22900,"Fort Smith, AR-OK","Metropolitan Statistical Area",0.0287265519519692,0.0574539291305784
"85",2017,4,22220,"Fayetteville-Springdale-Rogers, AR","Metropolitan Statistical Area",0.0298160350636572,0.0337991989589847
"86",2017,5,22220,"Fayetteville-Springdale-Rogers, AR","Metropolitan Statistical Area",0.0138908181691902,0.0337991989589847
"87",2017,5,42620,"Searcy, AR","Micropolitan Statistical Area",0.096534414518776,0.096534414518776
"88",2017,1,41860,"San Francisco-Oakland-Fremont, CA","Metropolitan Statistical Area",0.00260914034044063,0.0273627165705011
"89",2017,2,41860,"San Francisco-Oakland-Fremont, CA","Metropolitan Statistical Area",0.00447282534958857,0.0273627165705011
"90",2017,3,41860,"San Francisco-Oakland-Fremont, CA","Metropolitan Statistical Area",0.00894562402436788,0.0273627165705011
"91",2017,4,41860,"San Francisco-Oakland-Fremont, CA","Metropolitan Statistical Area",0.00298186578323923,0.0273627165705011
"92",2017,5,41860,"San Francisco-Oakland-Fremont, CA","Metropolitan Statistical Area",0.00828019224240618,0.0273627165705011
"93",2017,2,17020,"Chico, CA","Metropolitan Statistical Area",0.0185528756957328,0.0556569060944312
"94",2017,4,17020,"Chico, CA","Metropolitan Statistical Area",0.018552187302883,0.0556569060944312
"95",2017,5,17020,"Chico, CA","Metropolitan Statistical Area",0.0185518431256145,0.0556569060944312
"96",2017,2,41860,"San Francisco-Oakland-Fremont, CA","Metropolitan Statistical Area",0.00447282534958857,0.0273627165705011
