"","cbsa_code","title","children","total"
"1",31080,"Los Angeles-Long Beach-Anaheim, CA",1.48292723845245,7.55668652121265
"2",35620,"New York-Newark-Jersey City, NY-NJ",2.42544503566342,4.30321217600356
"3",26420,"Houston-Pasadena-The Woodlands, TX",2.56695627946189,10.3174641177301
"4",16980,"Chicago-Naperville-Elgin, IL-IN",2.97662600533206,7.01486639472396
"5",19100,"Dallas-Fort Worth-Arlington, TX",4.35493431990528,10.2362056792835
"6",38060,"Phoenix-Mesa-Chandler, AZ",3.24822323096591,12.4014201360377
"7",40140,"Riverside-San Bernardino-Ontario, CA",3.5735680101715,14.8181230737033
"8",33100,"Miami-Fort Lauderdale-West Palm Beach, FL",3.32608390100287,12.1410438130733
"9",41740,"San Diego-Chula Vista-Carlsbad, CA",0.987660173788684,8.20183460566303
"10",12060,"Atlanta-Sandy Springs-Roswell, GA",5.61193833447346,12.3362420127135
"11",19820,"Detroit-Warren-Dearborn, MI",2.82889754611022,8.22333545408017
"12",41700,"San Antonio-New Braunfels, TX",1.71835018525724,11.0311638190327
"13",29820,"Las Vegas-Henderson-North Las Vegas, NV",2.00914935707221,9.78980026510214
"14",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5.34859942466899,8.27572102056868
"15",42660,"Seattle-Tacoma-Bellevue, WA",2.02105943935811,6.0709795328825
"16",41860,"San Francisco-Oakland-Fremont, CA",3.66430675133251,5.46779649554003
"17",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4.77745216304576,6.38160106588303
"18",45300,"Tampa-St. Petersburg-Clearwater, FL",5.03198042340833,15.0510030750096
"19",41940,"San Jose-Sunnyvale-Santa Clara, CA",1.54580732462965,6.74161466125057
"20",18140,"Columbus, OH",2.8658414262866,9.51971574561926
"21",33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2.91225870986939,5.47274550824002
"22",41620,"Salt Lake City-Murray, UT",2.04935486949132,6.96555187130117
"23",36740,"Orlando-Kissimmee-Sanford, FL",5.83810986929194,13.7977752722722
"24",41180,"St. Louis, MO-IL",6.52990223995842,12.7747844727666
"25",23420,"Fresno, CA",4.11011421157025,20.0138600470475
"26",32580,"McAllen-Edinburg-Mission, TX",2.00455319941009,6.94312367238539
"27",26900,"Indianapolis-Carmel-Greenwood, IN",3.32108222999601,10.7351619244241
"28",27260,"Jacksonville, FL",4.46794702377932,15.2037357461818
"29",12540,"Bakersfield-Delano, CA",3.99790878617339,20.4250081677928
"30",33340,"Milwaukee-Waukesha, WI",2.18673767894803,7.79239927846457
