"","YEAR","FIPS","NAME","fatality_count","population","fatality_rate","county_name"
"61",2018,"06037","Los Angeles County, California",733,10105518,7.25346291006557,"Los Angeles County,CA"
"62",2018,"06075","San Francisco County, California",27,883305,3.05670181873758,"San Francisco County,CA"
"63",2018,"11001","District of Columbia, District of Columbia",31,702455,4.41309407720068,"District of Columbia"
"64",2018,"17031","Cook County, Illinois",268,5180493,5.17325281589995,"Cook County,IL"
"65",2018,"24510","Baltimore city, Maryland",34,602495,5.6432003585092,"Baltimore City,MD"
"66",2018,"25025","Suffolk County, Massachusetts",20,807252,2.47754109001898,"Suffolk County,MA"
"67",2018,"36061","New York County, New York",27,1628701,1.65776284290364,"New York County,NY"
"68",2018,"42003","Allegheny County, Pennsylvania",68,1218452,5.58085176929415,"Allegheny County,PA"
"69",2018,"42101","Philadelphia County, Pennsylvania",103,1584138,6.50195879399396,"Philadelphia County,PA"
"70",2018,"53033","King County, Washington",115,2233163,5.14964648796349,"King County,WA"
"71",2019,"06037","Los Angeles County, California",716,10039107,7.13210846343206,"Los Angeles County,CA"
"72",2019,"06075","San Francisco County, California",39,881549,4.42403088200429,"San Francisco County,CA"
"73",2019,"11001","District of Columbia, District of Columbia",23,705749,3.25894900311584,"District of Columbia"
"74",2019,"17031","Cook County, Illinois",295,5150233,5.72789619421102,"Cook County,IL"
"75",2019,"24510","Baltimore city, Maryland",49,593490,8.2562469460311,"Baltimore City,MD"
"76",2019,"25025","Suffolk County, Massachusetts",24,803907,2.98541995529334,"Suffolk County,MA"
"77",2019,"36061","New York County, New York",38,1628706,2.33314054224642,"New York County,NY"
"78",2019,"42003","Allegheny County, Pennsylvania",62,1216045,5.09849553264887,"Allegheny County,PA"
"79",2019,"42101","Philadelphia County, Pennsylvania",91,1584064,5.74471738515616,"Philadelphia County,PA"
"80",2019,"53033","King County, Washington",107,2252782,4.74968283659937,"King County,WA"
"81",2020,"06037",NA,760,10014009,7.58936805429274,"Los Angeles County,CA"
"82",2020,"06075",NA,32,873965,3.66147385764876,"San Francisco County,CA"
"83",2020,"11001",NA,36,689545,5.22083402823601,"District of Columbia"
"84",2020,"17031",NA,371,5275541,7.03245411228915,"Cook County,IL"
"85",2020,"24510",NA,68,585708,11.6098806914025,"Baltimore City,MD"
"86",2020,"25025",NA,19,797936,2.38114334984259,"Suffolk County,MA"
"87",2020,"36061",NA,27,1694251,1.59362455740029,"New York County,NY"
"88",2020,"42003",NA,60,1250578,4.7977815058317,"Allegheny County,PA"
"89",2020,"42101",NA,166,1603797,10.3504371189122,"Philadelphia County,PA"
"90",2020,"53033",NA,110,2269675,4.84650886140086,"King County,WA"
"91",2021,"06037","Los Angeles County, California",851,9829544,8.65757353545597,"Los Angeles County,CA"
"92",2021,"06075","San Francisco County, California",34,815201,4.17075052655725,"San Francisco County,CA"
"93",2021,"11001","District of Columbia, District of Columbia",41,670050,6.11894634728752,"District of Columbia"
"94",2021,"17031","Cook County, Illinois",458,5173146,8.85341337746895,"Cook County,IL"
"95",2021,"24510","Baltimore city, Maryland",48,576498,8.32613469604405,"Baltimore City,MD"
"96",2021,"25025","Suffolk County, Massachusetts",36,771245,4.66777742481313,"Suffolk County,MA"
"97",2021,"36061","New York County, New York",48,1576876,3.04399331336136,"New York County,NY"
"98",2021,"42003","Allegheny County, Pennsylvania",68,1238090,5.49233092909239,"Allegheny County,PA"
"99",2021,"42101","Philadelphia County, Pennsylvania",133,1576251,8.43774246614277,"Philadelphia County,PA"
"100",2021,"53033","King County, Washington",137,2252305,6.08265754416032,"King County,WA"
"101",2022,"06037","Los Angeles County, California",858,9721138,8.82612714684227,"Los Angeles County,CA"
"102",2022,"06075","San Francisco County, California",42,808437,5.19521001636491,"San Francisco County,CA"
"103",2022,"11001","District of Columbia, District of Columbia",32,671803,4.76330114631819,"District of Columbia"
"104",2022,"17031","Cook County, Illinois",399,5109292,7.80930117127774,"Cook County,IL"
"105",2022,"24510","Baltimore city, Maryland",46,569931,8.0711524728432,"Baltimore City,MD"
"106",2022,"25025","Suffolk County, Massachusetts",28,766381,3.65353525204826,"Suffolk County,MA"
"107",2022,"36061","New York County, New York",36,1596273,2.25525333072726,"New York County,NY"
"108",2022,"42003","Allegheny County, Pennsylvania",84,1233253,6.81125446279068,"Allegheny County,PA"
"109",2022,"42101","Philadelphia County, Pennsylvania",142,1567258,9.06040996440918,"Philadelphia County,PA"
"110",2022,"53033","King County, Washington",150,2266789,6.61728991979404,"King County,WA"
