cbsa_code,cbsa_name,fatality_count,pop_under18,rate,Metropolitan/Micropolitan Statistical Area
10180,"Abilene, TX",2,33706,5.933661662611998,Metropolitan Statistical Area
10420,"Akron, OH",6,30714,19.535065442469232,Metropolitan Statistical Area
10500,"Albany, GA",2,21790,9.178522257916475,Metropolitan Statistical Area
10540,"Albany, OR",1,28631,3.4927176836296323,Metropolitan Statistical Area
10580,"Albany-Schenectady-Troy, NY",5,46654,10.717194667123934,Metropolitan Statistical Area
10740,"Albuquerque, NM",7,33537,20.87246921310791,Metropolitan Statistical Area
10780,"Alexandria, LA",3,32941,9.10719164566953,Metropolitan Statistical Area
10900,"Allentown-Bethlehem-Easton, PA-NJ",3,83247,3.603733467872716,Metropolitan Statistical Area
11100,"Amarillo, TX",3,33064,9.073312363900314,Metropolitan Statistical Area
11260,"Anchorage, AK",2,29150,6.86106346483705,Metropolitan Statistical Area
11460,"Ann Arbor, MI",1,68710,1.4553922282055014,Metropolitan Statistical Area
11500,"Anniston-Oxford, AL",1,25000,4,Metropolitan Statistical Area
11700,"Asheville, NC",2,48315,4.139501190106592,Metropolitan Statistical Area
12060,"Atlanta-Sandy Springs-Roswell, GA",38,743163,5.113279320956506,Metropolitan Statistical Area
12100,"Atlantic City-Hammonton, NJ",1,58004,1.724019033170126,Metropolitan Statistical Area
12260,"Augusta-Richmond County, GA-SC",7,38835,18.024977468778165,Metropolitan Statistical Area
12420,"Austin-Round Rock-San Marcos, TX",14,413991,3.381716027643113,Metropolitan Statistical Area
12540,"Bakersfield-Delano, CA",9,259222,3.4719275370146057,Metropolitan Statistical Area
12580,"Baltimore-Columbia-Towson, MD",12,126007,9.523280452673264,Metropolitan Statistical Area
12620,"Bangor, ME",1,27489,3.637818763869184,Metropolitan Statistical Area
12940,"Baton Rouge, LA",10,137295,7.283586437962052,Metropolitan Statistical Area
13140,"Beaumont-Port Arthur, TX",5,21226,23.556016206539148,Metropolitan Statistical Area
13380,"Bellingham, WA",1,43196,2.3150291693675342,Metropolitan Statistical Area
13460,"Bend, OR",1,38589,2.5914120604317294,Metropolitan Statistical Area
13820,"Birmingham, AL",12,171299,7.005294835346383,Metropolitan Statistical Area
13980,"Blacksburg-Christiansburg-Radford, VA",2,14889,13.432735576600177,Metropolitan Statistical Area
14010,"Bloomington, IL",2,37500,5.333333333333333,Metropolitan Statistical Area
14020,"Bloomington, IN",1,23415,4.270766602605168,Metropolitan Statistical Area
14260,"Boise City, ID",5,61969,8.068550404234376,Metropolitan Statistical Area
14460,"Boston-Cambridge-Newton, MA-NH",8,147871,5.4101209838305016,Metropolitan Statistical Area
14540,"Bowling Green, KY",1,29324,3.410175965079798,Metropolitan Statistical Area
14580,"Bozeman, MT",1,21657,4.617444706099644,Metropolitan Statistical Area
14740,"Bremerton-Silverdale-Port Orchard, WA",1,55081,1.8155080699333708,Metropolitan Statistical Area
15180,"Brownsville-Harlingen, TX",1,130192,0.7680963500061447,Metropolitan Statistical Area
15260,"Brunswick-St. Simons, GA",1,18996,5.264266161297115,Metropolitan Statistical Area
15380,"Buffalo-Cheektowaga, NY",4,188721,2.1195309478012514,Metropolitan Statistical Area
15940,"Canton-Massillon, OH",2,80191,2.4940454664488536,Metropolitan Statistical Area
15980,"Cape Coral-Fort Myers, FL",2,131867,1.5166796848339614,Metropolitan Statistical Area
16220,"Casper, WY",3,20496,14.637002341920375,Metropolitan Statistical Area
16580,"Champaign-Urbana, IL",2,39831,5.021214631819437,Metropolitan Statistical Area
16620,"Charleston, WV",2,37795,5.291705252017462,Metropolitan Statistical Area
16700,"Charleston-North Charleston, SC",6,38675,15.513897866839045,Metropolitan Statistical Area
16740,"Charlotte-Concord-Gastonia, NC-SC",20,298464,6.700975662056395,Metropolitan Statistical Area
16860,"Chattanooga, TN-GA",2,15217,13.143195110731419,Metropolitan Statistical Area
16940,"Cheyenne, WY",1,22679,4.409365492305658,Metropolitan Statistical Area
16980,"Chicago-Naperville-Elgin, IL-IN",33,697077,4.7340537702434595,Metropolitan Statistical Area
17020,"Chico, CA",2,45869,4.360243301576228,Metropolitan Statistical Area
17140,"Cincinnati, OH-KY-IN",19,268962,7.064194942036422,Metropolitan Statistical Area
17410,"Cleveland, OH",22,260986,8.429570934839417,Metropolitan Statistical Area
17660,"Coeur d'Alene, ID",2,36433,5.489528723959048,Metropolitan Statistical Area
17820,"Colorado Springs, CO",8,170006,4.705716268837571,Metropolitan Statistical Area
17860,"Columbia, MO",2,36044,5.548773721007658,Metropolitan Statistical Area
17900,"Columbia, SC",3,15243,19.6811651249754,Metropolitan Statistical Area
17980,"Columbus, GA-AL",2,48369,4.134879778370444,Metropolitan Statistical Area
18020,"Columbus, IN",1,19505,5.126890540886952,Metropolitan Statistical Area
18140,"Columbus, OH",8,379452,2.1083035535456394,Metropolitan Statistical Area
18580,"Corpus Christi, TX",5,89611,5.579672138465144,Metropolitan Statistical Area
18700,"Corvallis, OR",1,15126,6.611133148221605,Metropolitan Statistical Area
18880,"Crestview-Fort Walton Beach-Destin, FL",2,45039,4.440595927973534,Metropolitan Statistical Area
19100,"Dallas-Fort Worth-Arlington, TX",60,1582333,3.7918693473497678,Metropolitan Statistical Area
19340,"Davenport-Moline-Rock Island, IA-IL",1,32276,3.098277357789069,Metropolitan Statistical Area
19430,"Dayton-Kettering-Beavercreek, OH",4,152040,2.6308866087871614,Metropolitan Statistical Area
19460,"Decatur, AL",4,26887,14.877078141852941,Metropolitan Statistical Area
19500,"Decatur, IL",1,23421,4.269672516118014,Metropolitan Statistical Area
19660,"Deltona-Daytona Beach-Ormond Beach, FL",8,95971,8.33585145512707,Metropolitan Statistical Area
19740,"Denver-Aurora-Centennial, CO",16,250364,6.390695147864709,Metropolitan Statistical Area
19780,"Des Moines-West Des Moines, IA",5,120594,4.146143257541834,Metropolitan Statistical Area
19820,"Detroit-Warren-Dearborn, MI",9,416178,2.1625362224817266,Metropolitan Statistical Area
20260,"Duluth, MN-WI",2,38060,5.254860746190226,Metropolitan Statistical Area
20940,"El Centro, CA",3,52551,5.708740081064109,Metropolitan Statistical Area
21060,"Elizabethtown, KY",3,26804,11.192359349350843,Metropolitan Statistical Area
21140,"Elkhart-Goshen, IN",4,56596,7.067637288854336,Metropolitan Statistical Area
21300,"Elmira, NY",1,18201,5.494203615185979,Metropolitan Statistical Area
21340,"El Paso, TX",5,231104,2.1635281085571862,Metropolitan Statistical Area
21500,"Erie, PA",1,59103,1.6919614909564658,Metropolitan Statistical Area
21660,"Eugene-Springfield, OR",4,70098,5.7062968986276354,Metropolitan Statistical Area
21780,"Evansville, IN",2,38975,5.131494547787043,Metropolitan Statistical Area
21820,"Fairbanks-College, AK",1,23932,4.178505766337958,Metropolitan Statistical Area
22140,"Farmington, NM",2,34183,5.850861539361671,Metropolitan Statistical Area
22180,"Fayetteville, NC",3,81939,3.661260205762823,Metropolitan Statistical Area
22220,"Fayetteville-Springdale-Rogers, AR",2,56973,3.5104347673459357,Metropolitan Statistical Area
22380,"Flagstaff, AZ",1,29569,3.3819202543204034,Metropolitan Statistical Area
22420,"Flint, MI",6,92644,6.476404300332455,Metropolitan Statistical Area
22500,"Florence, SC",4,15229,26.265677326154048,Metropolitan Statistical Area
