cbsa_code,cbsa_name,fatality_count,pop_under18,rate,Metropolitan/Micropolitan Statistical Area
10180,"Abilene, TX",1,35322,2.8310967668874922,Metropolitan Statistical Area
10420,"Akron, OH",1,112088,0.8921561630147742,Metropolitan Statistical Area
10500,"Albany, GA",2,19900,10.050251256281408,Metropolitan Statistical Area
10580,"Albany-Schenectady-Troy, NY",2,91021,2.197295129695345,Metropolitan Statistical Area
10740,"Albuquerque, NM",9,174639,5.153488052496865,Metropolitan Statistical Area
10900,"Allentown-Bethlehem-Easton, PA-NJ",4,160054,2.499156534669549,Metropolitan Statistical Area
11100,"Amarillo, TX",2,31240,6.402048655569782,Metropolitan Statistical Area
11460,"Ann Arbor, MI",2,68045,2.9392313909912557,Metropolitan Statistical Area
11500,"Anniston-Oxford, AL",2,25051,7.983713225020958,Metropolitan Statistical Area
11540,"Appleton, WI",2,44489,4.495493267998831,Metropolitan Statistical Area
11700,"Asheville, NC",1,21823,4.582321404023278,Metropolitan Statistical Area
12020,"Athens-Clarke County, GA",2,21278,9.399379640943698,Metropolitan Statistical Area
12060,"Atlanta-Sandy Springs-Roswell, GA",34,593363,5.7300505761228795,Metropolitan Statistical Area
12100,"Atlantic City-Hammonton, NJ",3,16174,18.54828737479906,Metropolitan Statistical Area
12220,"Auburn-Opelika, AL",1,37284,2.68211565282695,Metropolitan Statistical Area
12260,"Augusta-Richmond County, GA-SC",2,46879,4.266302608844045,Metropolitan Statistical Area
12420,"Austin-Round Rock-San Marcos, TX",13,58309,22.29501449175942,Metropolitan Statistical Area
12540,"Bakersfield-Delano, CA",11,263350,4.176950825897095,Metropolitan Statistical Area
12580,"Baltimore-Columbia-Towson, MD",8,248467,3.2197434669392715,Metropolitan Statistical Area
12700,"Barnstable Town, MA",1,33613,2.9750394192723055,Metropolitan Statistical Area
12940,"Baton Rouge, LA",12,136988,8.759891377346921,Metropolitan Statistical Area
13020,"Bay City, MI",1,19598,5.102561485865905,Metropolitan Statistical Area
13140,"Beaumont-Port Arthur, TX",4,61835,6.4688283334681005,Metropolitan Statistical Area
13380,"Bellingham, WA",1,42885,2.3318176518596245,Metropolitan Statistical Area
13740,"Billings, MT",4,39047,10.244064844930469,Metropolitan Statistical Area
13820,"Birmingham, AL",3,20704,14.489953632148376,Metropolitan Statistical Area
14260,"Boise City, ID",4,65890,6.070723933829109,Metropolitan Statistical Area
14460,"Boston-Cambridge-Newton, MA-NH",5,125480,3.9846987567739878,Metropolitan Statistical Area
14500,"Boulder, CO",2,59617,3.3547478068336214,Metropolitan Statistical Area
14540,"Bowling Green, KY",1,31830,3.141690229343387,Metropolitan Statistical Area
14580,"Bozeman, MT",1,23595,4.238186056367875,Metropolitan Statistical Area
14740,"Bremerton-Silverdale-Port Orchard, WA",3,54568,5.4977276059228855,Metropolitan Statistical Area
15180,"Brownsville-Harlingen, TX",5,123110,4.061408496466575,Metropolitan Statistical Area
15380,"Buffalo-Cheektowaga, NY",5,191836,2.606392960653892,Metropolitan Statistical Area
15500,"Burlington, NC",1,38531,2.5953128649658717,Metropolitan Statistical Area
15940,"Canton-Massillon, OH",4,80333,4.9792737729202194,Metropolitan Statistical Area
15980,"Cape Coral-Fort Myers, FL",8,136093,5.878333198621531,Metropolitan Statistical Area
16020,"Cape Girardeau, MO-IL",3,17613,17.032873445750297,Metropolitan Statistical Area
16620,"Charleston, WV",1,35936,2.782724844167409,Metropolitan Statistical Area
16700,"Charleston-North Charleston, SC",3,56246,5.333712619564058,Metropolitan Statistical Area
16740,"Charlotte-Concord-Gastonia, NC-SC",24,299657,8.009157136325866,Metropolitan Statistical Area
16860,"Chattanooga, TN-GA",3,15649,19.170554029011438,Metropolitan Statistical Area
16940,"Cheyenne, WY",2,22547,8.870359693085554,Metropolitan Statistical Area
16980,"Chicago-Naperville-Elgin, IL-IN",49,1601742,3.0591693293926236,Metropolitan Statistical Area
17020,"Chico, CA",3,42402,7.075137965190322,Metropolitan Statistical Area
17140,"Cincinnati, OH-KY-IN",12,91164,13.163090693694878,Metropolitan Statistical Area
17300,"Clarksville, TN-KY",1,61727,1.62003661282745,Metropolitan Statistical Area
17410,"Cleveland, OH",8,39586,20.209164856262316,Metropolitan Statistical Area
17420,"Cleveland, TN",1,23931,4.17868037273829,Metropolitan Statistical Area
17820,"Colorado Springs, CO",5,172818,2.8932171417329213,Metropolitan Statistical Area
17860,"Columbia, MO",2,38205,5.234916895694281,Metropolitan Statistical Area
17900,"Columbia, SC",9,90045,9.995002498750624,Metropolitan Statistical Area
17980,"Columbus, GA-AL",2,51075,3.9158100832109644,Metropolitan Statistical Area
18020,"Columbus, IN",3,19927,15.054950569578965,Metropolitan Statistical Area
18140,"Columbus, OH",10,307247,3.254710379596871,Metropolitan Statistical Area
18580,"Corpus Christi, TX",3,18363,16.337199803953602,Metropolitan Statistical Area
18880,"Crestview-Fort Walton Beach-Destin, FL",3,47863,6.2678896015711505,Metropolitan Statistical Area
19100,"Dallas-Fort Worth-Arlington, TX",58,1429633,4.056985254257561,Metropolitan Statistical Area
19140,"Dalton, GA",3,25786,11.63422011944466,Metropolitan Statistical Area
19300,"Daphne-Fairhope-Foley, AL",2,50629,3.950305161073693,Metropolitan Statistical Area
19340,"Davenport-Moline-Rock Island, IA-IL",1,32067,3.118470701967755,Metropolitan Statistical Area
19430,"Dayton-Kettering-Beavercreek, OH",12,153395,7.822940773819225,Metropolitan Statistical Area
19460,"Decatur, AL",2,28625,6.986899563318777,Metropolitan Statistical Area
19500,"Decatur, IL",1,22791,4.3876968978982935,Metropolitan Statistical Area
19660,"Deltona-Daytona Beach-Ormond Beach, FL",6,99331,6.040410345209451,Metropolitan Statistical Area
19740,"Denver-Aurora-Centennial, CO",12,109654,10.943513232531418,Metropolitan Statistical Area
19780,"Des Moines-West Des Moines, IA",3,121504,2.4690545167237294,Metropolitan Statistical Area
19820,"Detroit-Warren-Dearborn, MI",20,460755,4.340701674425671,Metropolitan Statistical Area
20100,"Dover, DE",3,42303,7.091695624423799,Metropolitan Statistical Area
20260,"Duluth, MN-WI",1,37586,2.6605651040280955,Metropolitan Statistical Area
20500,"Durham-Chapel Hill, NC",2,64770,3.087849312953528,Metropolitan Statistical Area
20740,"Eau Claire, WI",2,35917,5.5683937968093105,Metropolitan Statistical Area
20940,"El Centro, CA",2,50923,3.9274983799069183,Metropolitan Statistical Area
21140,"Elkhart-Goshen, IN",5,56549,8.841889334913084,Metropolitan Statistical Area
21340,"El Paso, TX",1,229713,0.4353258196096869,Metropolitan Statistical Area
21500,"Erie, PA",1,56507,1.769692250517635,Metropolitan Statistical Area
21660,"Eugene-Springfield, OR",1,68649,1.4566854579090738,Metropolitan Statistical Area
21820,"Fairbanks-College, AK",1,22476,4.449190247374977,Metropolitan Statistical Area
22140,"Farmington, NM",1,30762,3.250763929523438,Metropolitan Statistical Area
22180,"Fayetteville, NC",2,84258,2.373661848133115,Metropolitan Statistical Area
22220,"Fayetteville-Springdale-Rogers, AR",2,59698,3.350195986465208,Metropolitan Statistical Area
22380,"Flagstaff, AZ",3,29057,10.324534535568022,Metropolitan Statistical Area
22420,"Flint, MI",2,90296,2.214937538761407,Metropolitan Statistical Area
22520,"Florence-Muscle Shoals, AL",1,18892,5.293245818335803,Metropolitan Statistical Area
22660,"Fort Collins-Loveland, CO",2,67895,2.9457250165697033,Metropolitan Statistical Area
22900,"Fort Smith, AR-OK",2,30058,6.653802648213454,Metropolitan Statistical Area
23060,"Fort Wayne, IN",2,99205,2.0160274179728845,Metropolitan Statistical Area
23420,"Fresno, CA",16,285553,5.6031629855053176,Metropolitan Statistical Area
23460,"Gadsden, AL",3,22306,13.449296153501301,Metropolitan Statistical Area
23540,"Gainesville, FL",4,50722,7.886124364181223,Metropolitan Statistical Area
23580,"Gainesville, GA",2,50486,3.961494275640771,Metropolitan Statistical Area
23900,"Gettysburg, PA",1,20109,4.972897707494156,Metropolitan Statistical Area
24140,"Goldsboro, NC",1,27875,3.587443946188341,Metropolitan Statistical Area
24220,"Grand Forks, ND-MN",2,15784,12.671059300557527,Metropolitan Statistical Area
24340,"Grand Rapids-Wyoming-Kentwood, MI",7,70266,9.962143853357242,Metropolitan Statistical Area
24420,"Grants Pass, OR",1,16741,5.9733588196642975,Metropolitan Statistical Area
24500,"Great Falls, MT",2,19162,10.437323870159691,Metropolitan Statistical Area
24540,"Greeley, CO",2,87312,2.2906358805204325,Metropolitan Statistical Area
24780,"Greenville, NC",2,35930,5.566379070414695,Metropolitan Statistical Area
24860,"Greenville-Anderson-Greer, SC",12,146656,8.182413266419376,Metropolitan Statistical Area
25260,"Hanford-Corcoran, CA",2,41406,4.830217842824712,Metropolitan Statistical Area
25420,"Harrisburg-Carlisle, PA",4,119019,3.3608079382283504,Metropolitan Statistical Area
25500,"Harrisonburg, VA",1,18638,5.365382551775942,Metropolitan Statistical Area
25620,"Hattiesburg, MS",2,16130,12.399256044637323,Metropolitan Statistical Area
25740,"Helena, MT",1,14885,6.718172657037286,Metropolitan Statistical Area
25860,"Hickory-Lenoir-Morganton, NC",2,35196,5.6824639163541315,Metropolitan Statistical Area
25940,"Hilton Head Island-Bluffton-Port Royal, SC",1,34119,2.930918256689821,Metropolitan Statistical Area
25980,"Hinesville, GA",2,18713,10.687757174157003,Metropolitan Statistical Area
26140,"Homosassa Springs, FL",2,22989,8.699812954021489,Metropolitan Statistical Area
26420,"Houston-Pasadena-The Woodlands, TX",46,1557085,2.954238207933414,Metropolitan Statistical Area
26620,"Huntsville, AL",4,85610,4.672351360822334,Metropolitan Statistical Area
26820,"Idaho Falls, ID",3,38336,7.825542570951586,Metropolitan Statistical Area
26900,"Indianapolis-Carmel-Greenwood, IN",14,280320,4.994292237442923,Metropolitan Statistical Area
27060,"Ithaca, NY",3,12622,23.768024084931074,Metropolitan Statistical Area
27100,"Jackson, MI",1,34317,2.914007634700003,Metropolitan Statistical Area
27140,"Jackson, MS",7,52765,13.266369752676965,Metropolitan Statistical Area
27180,"Jackson, TN",1,22068,4.531448250860976,Metropolitan Statistical Area
27260,"Jacksonville, FL",10,225827,4.428168465241091,Metropolitan Statistical Area
27340,"Jacksonville, NC",1,50042,1.998321410015587,Metropolitan Statistical Area
27500,"Janesville-Beloit, WI",3,37488,8.002560819462227,Metropolitan Statistical Area
27740,"Johnson City, TN",2,25399,7.874325760856727,Metropolitan Statistical Area
27860,"Jonesboro, AR",4,28266,14.151277152763038,Metropolitan Statistical Area
27980,"Kahului-Wailuku, HI",2,35358,5.656428531025511,Metropolitan Statistical Area
28140,"Kansas City, MO-KS",12,418928,2.864454035060917,Metropolitan Statistical Area
28660,"Killeen-Temple, TX",1,104674,0.9553470775932897,Metropolitan Statistical Area
28700,"Kingsport-Bristol, TN-VA",1,30025,3.330557868442964,Metropolitan Statistical Area
28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY",6,158394,3.7880222735709688,Metropolitan Statistical Area
28940,"Knoxville, TN",4,101562,3.9384809279061064,Metropolitan Statistical Area
29020,"Kokomo, IN",1,18307,5.46239143497023,Metropolitan Statistical Area
29100,"La Crosse-Onalaska, WI-MN",2,24303,8.229436695058224,Metropolitan Statistical Area
29180,"Lafayette, LA",1,57995,1.7242865764290023,Metropolitan Statistical Area
29200,"Lafayette-West Lafayette, IN",2,37976,5.266484095218033,Metropolitan Statistical Area
29340,"Lake Charles, LA",5,50689,9.864073073053326,Metropolitan Statistical Area
29420,"Lake Havasu City-Kingman, AZ",4,35777,11.180367275064985,Metropolitan Statistical Area
29460,"Lakeland-Winter Haven, FL",12,166776,7.195279896387969,Metropolitan Statistical Area
29540,"Lancaster, PA",5,129270,3.8678734431809394,Metropolitan Statistical Area
29620,"Lansing-East Lansing, MI",3,22317,13.442667025137789,Metropolitan Statistical Area
29700,"Laredo, TX",5,84975,5.884083553986467,Metropolitan Statistical Area
29740,"Las Cruces, NM",1,52108,1.9190911184463038,Metropolitan Statistical Area
29820,"Las Vegas-Henderson-North Las Vegas, NV",9,520341,1.7296349893627447,Metropolitan Statistical Area
30020,"Lawton, OK",1,29527,3.386730788769601,Metropolitan Statistical Area
30140,"Lebanon, PA",3,32462,9.241574764339843,Metropolitan Statistical Area
30460,"Lexington-Fayette, KY",6,66737,8.990515006667964,Metropolitan Statistical Area
30500,"Lexington Park, MD",1,21724,4.603203829865586,Metropolitan Statistical Area
30620,"Lima, OH",2,23390,8.550662676357417,Metropolitan Statistical Area
30700,"Lincoln, NE",2,72896,2.743634767339772,Metropolitan Statistical Area
30780,"Little Rock-North Little Rock-Conway, AR",4,121137,3.3020464432832246,Metropolitan Statistical Area
30980,"Longview, TX",3,48874,6.138233007324958,Metropolitan Statistical Area
31080,"Los Angeles-Long Beach-Anaheim, CA",40,2750536,1.4542620056599878,Metropolitan Statistical Area
31140,"Louisville/Jefferson County, KY-IN",7,171415,4.083656622815973,Metropolitan Statistical Area
31180,"Lubbock, TX",4,74445,5.37309423064007,Metropolitan Statistical Area
31340,"Lynchburg, VA",1,15456,6.469979296066253,Metropolitan Statistical Area
31420,"Macon-Bibb County, GA",2,37883,5.279412929282264,Metropolitan Statistical Area
31540,"Madison, WI",5,112638,4.43899927200412,Metropolitan Statistical Area
31700,"Manchester-Nashua, NH",1,84195,1.1877189856879862,Metropolitan Statistical Area
31740,"Manhattan, KS",2,11918,16.78133915086424,Metropolitan Statistical Area
31900,"Mansfield, OH",1,27360,3.654970760233918,Metropolitan Statistical Area
32580,"McAllen-Edinburg-Mission, TX",6,278296,2.155977807801765,Metropolitan Statistical Area
32780,"Medford, OR",1,45935,2.176989223903342,Metropolitan Statistical Area
32820,"Memphis, TN-MS-AR",24,231748,10.356076427844037,Metropolitan Statistical Area
32900,"Merced, CA",6,83250,7.207207207207207,Metropolitan Statistical Area
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",41,1225768,3.3448417645100865,Metropolitan Statistical Area
33260,"Midland, TX",1,47301,2.1141202088750766,Metropolitan Statistical Area
33340,"Milwaukee-Waukesha, WI",7,222246,3.1496629860604912,Metropolitan Statistical Area
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",11,315107,3.4908777018600032,Metropolitan Statistical Area
33540,"Missoula, MT",2,21986,9.096697898662786,Metropolitan Statistical Area
33660,"Mobile, AL",8,96570,8.284146215180698,Metropolitan Statistical Area
33700,"Modesto, CA",4,148934,2.68575342097842,Metropolitan Statistical Area
33740,"Monroe, LA",3,38772,7.737542556484061,Metropolitan Statistical Area
33780,"Monroe, MI",2,32803,6.097003322866811,Metropolitan Statistical Area
33860,"Montgomery, AL",2,54062,3.6994561799415484,Metropolitan Statistical Area
34580,"Mount Vernon-Anacortes, WA",1,27829,3.5933738186783573,Metropolitan Statistical Area
34620,"Muncie, IN",2,20456,9.777082518576456,Metropolitan Statistical Area
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC",3,63248,4.743232987604351,Metropolitan Statistical Area
