cbsa_code,cbsa_name,fatality_count,pop_under18,rate
20260,"Duluth, MN-WI",6,113657,5.279041326095181
20500,"Durham-Chapel Hill, NC",8,143935,5.558064404071282
20740,"Eau Claire, WI",3,49812,6.022645145748013
20940,"El Centro, CA",7,204444,3.4239204867836666
21060,"Elizabethtown, KY",11,108231,10.163446701961545
21140,"Elkhart-Goshen, IN",15,225487,6.652268201714511
21300,"Elmira, NY",2,35799,5.586748233190871
21340,"El Paso, TX",19,1137974,1.669633928367432
21500,"Erie, PA",5,227546,2.1973578968648098
21660,"Eugene-Springfield, OR",8,274346,2.916025748507359
21780,"Evansville, IN",5,131948,3.7893715706187288
21820,"Fairbanks-College, AK",3,70266,4.26949022286739
22020,"Fargo, ND-MN",1,40263,2.4836698706008
22140,"Farmington, NM",6,97883,6.129767171010288
22180,"Fayetteville, NC",14,415082,3.372827537691348
22220,"Fayetteville-Springdale-Rogers, AR",10,320665,3.118519327023529
22380,"Flagstaff, AZ",18,143945,12.504776129771788
22420,"Flint, MI",10,365061,2.7392682318845343
22500,"Florence, SC",13,112171,11.58944825311355
22520,"Florence-Muscle Shoals, AL",7,73858,9.477646294240298
22540,"Fond du Lac, WI",1,21363,4.68099049758929
22660,"Fort Collins-Loveland, CO",8,274366,2.9158131838493104
22900,"Fort Smith, AR-OK",7,122135,5.731362836205838
23060,"Fort Wayne, IN",9,487305,1.846892603195124
23420,"Fresno, CA",58,1411153,4.110114211570255
23460,"Gadsden, AL",7,88667,7.894707162755028
23540,"Gainesville, FL",21,245731,8.54593030590361
23580,"Gainesville, GA",10,203369,4.91717026685483
23900,"Gettysburg, PA",7,81408,8.598663522012577
24020,"Glens Falls, NY",1,11067,9.03587241348152
24140,"Goldsboro, NC",8,113537,7.046161163321209
24220,"Grand Forks, ND-MN",5,45149,11.074442401825069
24340,"Grand Rapids-Wyoming-Kentwood, MI",27,612207,4.4102729958984455
24420,"Grants Pass, OR",3,33592,8.930697785186949
24500,"Great Falls, MT",3,37363,8.029333832936327
24540,"Greeley, CO",20,423015,4.727964729383118
24580,"Green Bay, WI",3,123491,2.429326833534428
24660,"Greensboro-High Point, NC",32,405736,7.886901827789499
24780,"Greenville, NC",6,110656,5.42220936957779
24860,"Greenville-Anderson-Greer, SC",50,318659,15.690754066258915
25060,"Gulfport-Biloxi, MS",9,131525,6.842805550275614
25180,"Hagerstown-Martinsburg, MD-WV",9,132411,6.797018374606339
25220,"Hammond, LA",7,131838,5.309546564723373
25260,"Hanford-Corcoran, CA",14,205293,6.8195213670217685
25420,"Harrisburg-Carlisle, PA",8,245113,3.2638007776005353
25500,"Harrisonburg, VA",2,36462,5.48516263507213
25620,"Hattiesburg, MS",7,68240,10.25791324736225
25740,"Helena, MT",4,58612,6.824541049614414
25860,"Hickory-Lenoir-Morganton, NC",13,136612,9.516001522560243
25940,"Hilton Head Island-Bluffton-Port Royal, SC",8,140205,5.705930601619057
25980,"Hinesville, GA",2,18713,10.687757174157003
26140,"Homosassa Springs, FL",3,44938,6.675864524455918
26300,"Hot Springs, AR",2,39229,5.098269137627775
26380,"Houma-Bayou Cane-Thibodaux, LA",7,45781,15.290185884974115
26420,"Houston-Pasadena-The Woodlands, TX",185,7206979,2.566956279461894
26580,"Huntington-Ashland, WV-KY-OH",4,55045,7.266781724043964
26620,"Huntsville, AL",24,353228,6.794478353924378
26820,"Idaho Falls, ID",6,73701,8.141002157365572
26900,"Indianapolis-Carmel-Greenwood, IN",45,1354980,3.3210822299960148
26980,"Iowa City, IA",3,30003,9.99900009999
27060,"Ithaca, NY",5,27807,17.981083899737474
27100,"Jackson, MI",7,102406,6.835536980255063
27140,"Jackson, MS",25,267352,9.350968012208623
27180,"Jackson, TN",12,87823,13.663846600548831
27260,"Jacksonville, FL",59,1320517,4.467947023779323
27340,"Jacksonville, NC",7,196672,3.5592255125284735
27500,"Janesville-Beloit, WI",4,73947,5.409279619186715
27620,"Jefferson City, MO",1,16751,5.969792848188168
27740,"Johnson City, TN",6,74052,8.10241451952682
27860,"Jonesboro, AR",9,109778,8.198363970923134
27900,"Joplin, MO-KS",6,60048,9.992006394884093
27980,"Kahului-Wailuku, HI",4,107607,3.7172302917096474
28020,"Kalamazoo-Portage, MI",10,169508,5.899426575736839
28100,"Kankakee, IL",1,24325,4.110996916752312
28140,"Kansas City, MO-KS",67,1061064,6.314416472521922
28420,"Kennewick-Richland, WA",4,145519,2.7487819460001788
28450,"Kenosha, WI",2,35901,5.570875463079023
28660,"Killeen-Temple, TX",13,423501,3.0696503668232187
28700,"Kingsport-Bristol, TN-VA",2,60600,3.3003300330033003
28740,"Kingston, NY",1,32054,3.1197354464341425
