cbsa_code,cbsa_name,fatality_count,pop_under18,rate,Metropolitan/Micropolitan Statistical Area
10180,"Abilene, TX",1,35010,2.8563267637817766,Metropolitan Statistical Area
10420,"Akron, OH",4,109627,3.6487361690094593,Metropolitan Statistical Area
10580,"Albany-Schenectady-Troy, NY",4,85880,4.657661853749418,Metropolitan Statistical Area
10740,"Albuquerque, NM",4,32641,12.25452651573175,Metropolitan Statistical Area
10780,"Alexandria, LA",1,31513,3.1732935613873643,Metropolitan Statistical Area
10900,"Allentown-Bethlehem-Easton, PA-NJ",2,144261,1.3863760822398292,Metropolitan Statistical Area
11100,"Amarillo, TX",2,65350,3.0604437643458304,Metropolitan Statistical Area
11180,"Ames, IA",1,15786,6.334726973267452,Metropolitan Statistical Area
11260,"Anchorage, AK",3,67509,4.443851930853664,Metropolitan Statistical Area
11540,"Appleton, WI",1,43697,2.288486623795684,Metropolitan Statistical Area
11700,"Asheville, NC",1,21272,4.7010154193305755,Metropolitan Statistical Area
12060,"Atlanta-Sandy Springs-Roswell, GA",37,219370,16.866481287322788,Metropolitan Statistical Area
12100,"Atlantic City-Hammonton, NJ",1,56929,1.7565739781130885,Metropolitan Statistical Area
12220,"Auburn-Opelika, AL",1,37226,2.6862945253317574,Metropolitan Statistical Area
12260,"Augusta-Richmond County, GA-SC",3,36459,8.228420966016621,Metropolitan Statistical Area
12420,"Austin-Round Rock-San Marcos, TX",11,264050,4.165877674682825,Metropolitan Statistical Area
12540,"Bakersfield-Delano, CA",7,260036,2.6919349628512976,Metropolitan Statistical Area
12580,"Baltimore-Columbia-Towson, MD",10,78802,12.69003324788711,Metropolitan Statistical Area
12620,"Bangor, ME",1,26658,3.751219146222522,Metropolitan Statistical Area
12940,"Baton Rouge, LA",7,137221,5.101260011222772,Metropolitan Statistical Area
12980,"Battle Creek, MI",1,30291,3.3013106203162654,Metropolitan Statistical Area
13020,"Bay City, MI",2,19852,10.074551682450132,Metropolitan Statistical Area
13140,"Beaumont-Port Arthur, TX",9,82407,10.921402308056354,Metropolitan Statistical Area
13460,"Bend, OR",1,38713,2.5831116162529386,Metropolitan Statistical Area
13740,"Billings, MT",3,38379,7.81677479871805,Metropolitan Statistical Area
13780,"Binghamton, NY",2,36984,5.407743889249406,Metropolitan Statistical Area
13820,"Birmingham, AL",3,149764,2.003151625223685,Metropolitan Statistical Area
13900,"Bismarck, ND",1,23203,4.309787527474896,Metropolitan Statistical Area
13980,"Blacksburg-Christiansburg-Radford, VA",1,14540,6.87757909215956,Metropolitan Statistical Area
14010,"Bloomington, IL",2,35678,5.605695386512696,Metropolitan Statistical Area
14020,"Bloomington, IN",1,21739,4.6000276001656015,Metropolitan Statistical Area
14260,"Boise City, ID",4,112839,3.544873669564601,Metropolitan Statistical Area
14460,"Boston-Cambridge-Newton, MA-NH",4,58305,6.860475087899837,Metropolitan Statistical Area
14500,"Boulder, CO",1,56878,1.7581490207109953,Metropolitan Statistical Area
15180,"Brownsville-Harlingen, TX",5,121554,4.113398160488343,Metropolitan Statistical Area
15380,"Buffalo-Cheektowaga, NY",6,40948,14.652730292077758,Metropolitan Statistical Area
15500,"Burlington, NC",1,37937,2.635949073463901,Metropolitan Statistical Area
15940,"Canton-Massillon, OH",3,79519,3.7726832580892613,Metropolitan Statistical Area
15980,"Cape Coral-Fort Myers, FL",5,138830,3.6015270474681267,Metropolitan Statistical Area
16220,"Casper, WY",4,18486,21.637996321540626,Metropolitan Statistical Area
16540,"Chambersburg, PA",3,33728,8.894686907020873,Metropolitan Statistical Area
16620,"Charleston, WV",1,34304,2.9151119402985075,Metropolitan Statistical Area
16700,"Charleston-North Charleston, SC",9,137150,6.562158220925993,Metropolitan Statistical Area
16740,"Charlotte-Concord-Gastonia, NC-SC",9,101436,8.872589613155093,Metropolitan Statistical Area
16820,"Charlottesville, VA",1,21662,4.616378912381128,Metropolitan Statistical Area
16860,"Chattanooga, TN-GA",1,77526,1.2898898434073731,Metropolitan Statistical Area
16940,"Cheyenne, WY",2,22428,8.917424647761727,Metropolitan Statistical Area
16980,"Chicago-Naperville-Elgin, IL-IN",50,1537545,3.251937341671301,Metropolitan Statistical Area
17020,"Chico, CA",1,41520,2.4084778420038537,Metropolitan Statistical Area
17140,"Cincinnati, OH-KY-IN",10,232379,4.303314843423889,Metropolitan Statistical Area
17300,"Clarksville, TN-KY",3,62178,4.824857666698833,Metropolitan Statistical Area
17410,"Cleveland, OH",9,251041,3.5850717611864193,Metropolitan Statistical Area
17820,"Colorado Springs, CO",4,169283,2.3629070845861664,Metropolitan Statistical Area
17860,"Columbia, MO",1,37185,2.6892564205997043,Metropolitan Statistical Area
17900,"Columbia, SC",3,158118,1.8973171934884074,Metropolitan Statistical Area
17980,"Columbus, GA-AL",1,49981,2.0007602889097855,Metropolitan Statistical Area
18140,"Columbus, OH",8,302915,2.64100490236535,Metropolitan Statistical Area
18580,"Corpus Christi, TX",2,18148,11.020498126515319,Metropolitan Statistical Area
18880,"Crestview-Fort Walton Beach-Destin, FL",1,47923,2.0866807169834947,Metropolitan Statistical Area
19100,"Dallas-Fort Worth-Arlington, TX",56,1330441,4.209130656676996,Metropolitan Statistical Area
19300,"Daphne-Fairhope-Foley, AL",2,51269,3.900992802668279,Metropolitan Statistical Area
19340,"Davenport-Moline-Rock Island, IA-IL",2,39970,5.003752814610959,Metropolitan Statistical Area
