cbsa_code,cbsa_name,fatality_count,pop_under18,rate,Metropolitan/Micropolitan Statistical Area
10420,"Akron, OH",2,29738,6.725401842760106,Metropolitan Statistical Area
10500,"Albany, GA",1,20337,4.917146088410287,Metropolitan Statistical Area
10540,"Albany, OR",2,28785,6.948063227375369,Metropolitan Statistical Area
10580,"Albany-Schenectady-Troy, NY",1,45213,2.2117532568066705,Metropolitan Statistical Area
10740,"Albuquerque, NM",7,145065,4.825423086202736,Metropolitan Statistical Area
10900,"Allentown-Bethlehem-Easton, PA-NJ",1,83200,1.2019230769230769,Metropolitan Statistical Area
11100,"Amarillo, TX",6,65122,9.213476244587083,Metropolitan Statistical Area
11260,"Anchorage, AK",1,69197,1.4451493561859619,Metropolitan Statistical Area
11460,"Ann Arbor, MI",2,67499,2.9630068593608794,Metropolitan Statistical Area
11500,"Anniston-Oxford, AL",2,24474,8.171937566396993,Metropolitan Statistical Area
11540,"Appleton, WI",4,43823,9.127627045158935,Metropolitan Statistical Area
12060,"Atlanta-Sandy Springs-Roswell, GA",28,508246,5.509143210177749,Metropolitan Statistical Area
12100,"Atlantic City-Hammonton, NJ",4,55495,7.207856563654384,Metropolitan Statistical Area
12220,"Auburn-Opelika, AL",2,34720,5.76036866359447,Metropolitan Statistical Area
12260,"Augusta-Richmond County, GA-SC",4,36865,10.850400108504001,Metropolitan Statistical Area
12420,"Austin-Round Rock-San Marcos, TX",16,269942,5.927199176119315,Metropolitan Statistical Area
12540,"Bakersfield-Delano, CA",10,259120,3.859215807347947,Metropolitan Statistical Area
12580,"Baltimore-Columbia-Towson, MD",11,179007,6.145011088951828,Metropolitan Statistical Area
12620,"Bangor, ME",1,26834,3.7266154878139677,Metropolitan Statistical Area
12940,"Baton Rouge, LA",4,33623,11.896618386223716,Metropolitan Statistical Area
12980,"Battle Creek, MI",1,30154,3.3163096106652517,Metropolitan Statistical Area
13140,"Beaumont-Port Arthur, TX",2,60407,3.31087456751701,Metropolitan Statistical Area
13380,"Bellingham, WA",1,44070,2.269117313365101,Metropolitan Statistical Area
13740,"Billings, MT",1,37387,2.674726509214433,Metropolitan Statistical Area
13780,"Binghamton, NY",2,36763,5.440252427712646,Metropolitan Statistical Area
13820,"Birmingham, AL",7,149382,4.685972874911301,Metropolitan Statistical Area
14260,"Boise City, ID",5,111728,4.475153945295719,Metropolitan Statistical Area
14460,"Boston-Cambridge-Newton, MA-NH",6,276729,2.168186203831185,Metropolitan Statistical Area
14500,"Boulder, CO",1,61507,1.625831206204172,Metropolitan Statistical Area
14540,"Bowling Green, KY",1,30376,3.2920726889649727,Metropolitan Statistical Area
15180,"Brownsville-Harlingen, TX",2,126621,1.5795168258029868,Metropolitan Statistical Area
15260,"Brunswick-St. Simons, GA",2,18227,10.97273275909365,Metropolitan Statistical Area
15380,"Buffalo-Cheektowaga, NY",1,185273,0.539744053369892,Metropolitan Statistical Area
15500,"Burlington, NC",1,37366,2.676229727559814,Metropolitan Statistical Area
15980,"Cape Coral-Fort Myers, FL",5,133898,3.734185723461142,Metropolitan Statistical Area
16300,"Cedar Rapids, IA",1,52337,1.9106941551865795,Metropolitan Statistical Area
16620,"Charleston, WV",1,35370,2.827254735651682,Metropolitan Statistical Area
16700,"Charleston-North Charleston, SC",4,80797,4.95067886183893,Metropolitan Statistical Area
16740,"Charlotte-Concord-Gastonia, NC-SC",21,41037,51.17333138387309,Metropolitan Statistical Area
16860,"Chattanooga, TN-GA",2,76423,2.6170132028316084,Metropolitan Statistical Area
16980,"Chicago-Naperville-Elgin, IL-IN",31,1278842,2.424068024040499,Metropolitan Statistical Area
17020,"Chico, CA",1,44456,2.249415152060464,Metropolitan Statistical Area
17140,"Cincinnati, OH-KY-IN",6,89144,6.730682939962309,Metropolitan Statistical Area
17300,"Clarksville, TN-KY",2,19037,10.505857015286022,Metropolitan Statistical Area
17410,"Cleveland, OH",6,275694,2.176325926570763,Metropolitan Statistical Area
17420,"Cleveland, TN",1,23641,4.2299395118649805,Metropolitan Statistical Area
17820,"Colorado Springs, CO",4,171269,2.335507301379701,Metropolitan Statistical Area
17860,"Columbia, MO",2,36468,5.484260173302621,Metropolitan Statistical Area
17900,"Columbia, SC",3,89093,3.3672679110592303,Metropolitan Statistical Area
18140,"Columbus, OH",11,345749,3.181498717277562,Metropolitan Statistical Area
18580,"Corpus Christi, TX",7,87942,7.9597916808805795,Metropolitan Statistical Area
18880,"Crestview-Fort Walton Beach-Destin, FL",4,47285,8.459342286137252,Metropolitan Statistical Area
19100,"Dallas-Fort Worth-Arlington, TX",40,718164,5.569758439576476,Metropolitan Statistical Area
19300,"Daphne-Fairhope-Foley, AL",4,46903,8.528239131825258,Metropolitan Statistical Area
19430,"Dayton-Kettering-Beavercreek, OH",13,151245,8.595325465304638,Metropolitan Statistical Area
19460,"Decatur, AL",1,26982,3.7061744866948336,Metropolitan Statistical Area
19660,"Deltona-Daytona Beach-Ormond Beach, FL",6,96732,6.202704379109291,Metropolitan Statistical Area
19740,"Denver-Aurora-Centennial, CO",13,138624,9.377885503231763,Metropolitan Statistical Area
19780,"Des Moines-West Des Moines, IA",3,121097,2.4773528658843738,Metropolitan Statistical Area
19820,"Detroit-Warren-Dearborn, MI",22,854125,2.5757354017269134,Metropolitan Statistical Area
20100,"Dover, DE",2,41303,4.842263273854199,Metropolitan Statistical Area
20500,"Durham-Chapel Hill, NC",3,14810,20.256583389601623,Metropolitan Statistical Area
21060,"Elizabethtown, KY",1,26848,3.7246722288438616,Metropolitan Statistical Area
21140,"Elkhart-Goshen, IN",2,56669,3.5292664419700364,Metropolitan Statistical Area
21340,"El Paso, TX",6,224299,2.675000780208561,Metropolitan Statistical Area
21500,"Erie, PA",1,56861,1.7586746627741332,Metropolitan Statistical Area
21660,"Eugene-Springfield, OR",1,69571,1.4373805177444625,Metropolitan Statistical Area
21780,"Evansville, IN",1,39196,2.5512807429329527,Metropolitan Statistical Area
22020,"Fargo, ND-MN",1,40263,2.4836698706008,Metropolitan Statistical Area
22180,"Fayetteville, NC",3,83039,3.6127602692710656,Metropolitan Statistical Area
22220,"Fayetteville-Springdale-Rogers, AR",3,73258,4.095115891779737,Metropolitan Statistical Area
22380,"Flagstaff, AZ",3,28005,10.712372790573111,Metropolitan Statistical Area
22420,"Flint, MI",1,90568,1.1041427435738893,Metropolitan Statistical Area
