cbsa_code,cbsa_name,fatality_count,pop_under18,rate,Metropolitan/Micropolitan Statistical Area
10180,"Abilene, TX",4,34211,11.692145801058139,Metropolitan Statistical Area
10420,"Akron, OH",1,113126,0.8839700864522744,Metropolitan Statistical Area
10500,"Albany, GA",1,21221,4.712313274586494,Metropolitan Statistical Area
10580,"Albany-Schenectady-Troy, NY",2,89854,2.2258330180069894,Metropolitan Statistical Area
10740,"Albuquerque, NM",6,51477,11.655690891077569,Metropolitan Statistical Area
10780,"Alexandria, LA",1,32043,3.1208064163779916,Metropolitan Statistical Area
10900,"Allentown-Bethlehem-Easton, PA-NJ",2,12232,16.350555918901243,Metropolitan Statistical Area
11100,"Amarillo, TX",3,32795,9.147735935356,Metropolitan Statistical Area
11200,"Amherst Town-Northampton, MA",1,23568,4.243041412084182,Metropolitan Statistical Area
11260,"Anchorage, AK",2,100199,1.9960279044701044,Metropolitan Statistical Area
11500,"Anniston-Oxford, AL",1,24484,4.084299950988401,Metropolitan Statistical Area
11700,"Asheville, NC",1,47576,2.1019001177064065,Metropolitan Statistical Area
12060,"Atlanta-Sandy Springs-Roswell, GA",37,1036391,3.570081175926846,Metropolitan Statistical Area
12100,"Atlantic City-Hammonton, NJ",2,56422,3.5447165999078374,Metropolitan Statistical Area
12260,"Augusta-Richmond County, GA-SC",2,36664,5.454942177612917,Metropolitan Statistical Area
12420,"Austin-Round Rock-San Marcos, TX",14,167461,8.36015549889228,Metropolitan Statistical Area
12540,"Bakersfield-Delano, CA",15,258952,5.792579319719485,Metropolitan Statistical Area
12580,"Baltimore-Columbia-Towson, MD",9,251088,3.584400688204932,Metropolitan Statistical Area
12700,"Barnstable Town, MA",1,32580,3.0693677102516883,Metropolitan Statistical Area
12940,"Baton Rouge, LA",11,133430,8.244023083264633,Metropolitan Statistical Area
13020,"Bay City, MI",1,21083,4.7431579945928,Metropolitan Statistical Area
13140,"Beaumont-Port Arthur, TX",6,82138,7.304779760890209,Metropolitan Statistical Area
13220,"Beckley, WV",1,15716,6.362942224484602,Metropolitan Statistical Area
13740,"Billings, MT",2,37615,5.317027781470158,Metropolitan Statistical Area
13820,"Birmingham, AL",12,69107,17.36437698062425,Metropolitan Statistical Area
13980,"Blacksburg-Christiansburg-Radford, VA",1,14304,6.991051454138702,Metropolitan Statistical Area
14010,"Bloomington, IL",1,37134,2.6929498572736574,Metropolitan Statistical Area
14260,"Boise City, ID",3,111023,2.7021427992397973,Metropolitan Statistical Area
14460,"Boston-Cambridge-Newton, MA-NH",11,133658,8.22996004728486,Metropolitan Statistical Area
14540,"Bowling Green, KY",2,30077,6.649599361638461,Metropolitan Statistical Area
14740,"Bremerton-Silverdale-Port Orchard, WA",1,55256,1.8097582163023018,Metropolitan Statistical Area
15180,"Brownsville-Harlingen, TX",3,128762,2.3298799335207594,Metropolitan Statistical Area
15260,"Brunswick-St. Simons, GA",1,18678,5.353892279687333,Metropolitan Statistical Area
15380,"Buffalo-Cheektowaga, NY",3,186092,1.6121058401220902,Metropolitan Statistical Area
15540,"Burlington-South Burlington, VT",1,29165,3.4287673581347504,Metropolitan Statistical Area
15940,"Canton-Massillon, OH",5,79683,6.2748641491911705,Metropolitan Statistical Area
15980,"Cape Coral-Fort Myers, FL",4,132674,3.0149087236383916,Metropolitan Statistical Area
16540,"Chambersburg, PA",1,34503,2.898298698663884,Metropolitan Statistical Area
16620,"Charleston, WV",1,35252,2.836718484057642,Metropolitan Statistical Area
16700,"Charleston-North Charleston, SC",4,39214,10.20043861886061,Metropolitan Statistical Area
16740,"Charlotte-Concord-Gastonia, NC-SC",11,378428,2.906761656114241,Metropolitan Statistical Area
16860,"Chattanooga, TN-GA",4,75764,5.279552293965472,Metropolitan Statistical Area
16980,"Chicago-Naperville-Elgin, IL-IN",28,1301455,2.151438198016835,Metropolitan Statistical Area
17140,"Cincinnati, OH-KY-IN",12,246048,4.8770971517752635,Metropolitan Statistical Area
17300,"Clarksville, TN-KY",3,19005,15.785319652722967,Metropolitan Statistical Area
17410,"Cleveland, OH",11,368831,2.9823957313783276,Metropolitan Statistical Area
17820,"Colorado Springs, CO",4,172062,2.324743406446513,Metropolitan Statistical Area
17860,"Columbia, MO",1,36539,2.7368017734475494,Metropolitan Statistical Area
17900,"Columbia, SC",9,68466,13.145210761545876,Metropolitan Statistical Area
17980,"Columbus, GA-AL",1,48112,2.0784835384103757,Metropolitan Statistical Area
18020,"Columbus, IN",1,19690,5.078720162519045,Metropolitan Statistical Area
18140,"Columbus, OH",10,304644,3.282519924895944,Metropolitan Statistical Area
18580,"Corpus Christi, TX",1,88910,1.124732875941964,Metropolitan Statistical Area
18700,"Corvallis, OR",2,14770,13.540961408259987,Metropolitan Statistical Area
18880,"Crestview-Fort Walton Beach-Destin, FL",1,14377,6.955554009876887,Metropolitan Statistical Area
19100,"Dallas-Fort Worth-Arlington, TX",41,794856,5.158167013899373,Metropolitan Statistical Area
19140,"Dalton, GA",1,27387,3.651367437105196,Metropolitan Statistical Area
